
DEPARTMENT_ID EMPLOYEE_ID FIRST_NAME           LAST_NAME                 HIRE_DATE YEARS_SERVICE                                    
           50         182 Martha               Sullivan                  21-JUN-07    12.8515712                                    
           30         119 Karen                Colmenares                10-AUG-07    12.7145849                                    
           80         148 Gerald               Cambrault                 15-OCT-07     12.533763                                    
           50         124 Kevin                Mourgos                   16-NOV-07    12.4460917                                    
           80         155 Oliver               Tuvault                   23-NOV-07    12.4269137                                    
          100         113 Luis                 Popp                      07-DEC-07    12.3885575                                    
           50         135 Ki                   Gee                       12-DEC-07    12.3748589                                    
           50         191 Randall              Perkins                   19-DEC-07    12.3556808                                    

96 rows selected.


DEPARTMENT_ID EMPLOYEE_ID FIRST_NAME           LAST_NAME                 HIRE_DATE     SALARY YEARS_SERVICE                         
------------- ----------- -------------------- ------------------------- --------- ---------- -------------                         
           50         192 Sarah                Bell                      04-FEB-04       4000    16.2296534                         
           80         151 David                Bernstein                 24-MAR-05       9500    15.0954068                         
           50         185 Alexis               Bull                      20-FEB-05       4100     15.183078                         
           50         142 Curtis               Davies                    29-JAN-05       3100     15.243352                         
           50         193 Britney              Everett                   03-MAR-05       3900    15.1529411                         
          100         109 Daniel               Faviet                    16-AUG-02       9000    17.7008863                         
           50         121 Adam                 Fripp                     10-APR-05       8200    15.0488315                         
          110         206 William              Gietz                     07-JUN-02       8300    17.8926671                         
           80         175 Alyssa               Hutton                    19-MAR-05       8800    15.1091054                         
           50         122 Payam                Kaufling                  01-MAY-03       7900    16.9940369                         
           30         115 Alexander            Khoo                      18-MAY-03       3100    16.9474616                         
           50         137 Renske               Ladwig                    14-JUL-03       3600    16.7912972                         
           50         133 Jason                Mallin                    14-JUN-04       3300    15.8707493                         
           50         131 James                Marlow                    16-FEB-05       2500    15.1940369                         
           40         203 Susan                Mavris                    07-JUN-02       6500    17.8926671                         
           80         158 Allan                McEwen                    01-AUG-04       9000    15.7392424                         
           50         141 Trenna               Rajs                      17-OCT-03       3500    16.5310232                         
           50         184 Nandita              Sarchand                  27-JAN-04       4200    16.2515712                         
           80         159 Lindsey              Smith                     10-MAR-05       8000     15.133763                         
           80         157 Patrick              Sully                     04-MAR-04       9500    16.1502013                         
           50         120 Matthew              Weiss                     18-JUL-04       8000    15.7775986                         
           10         200 Jennifer             Whalen                    17-SEP-03       4400     16.613215                         

22 rows selected.


Total Employees MAX(SALARY) MIN(SALARY)                                                                                             
--------------- ----------- -----------                                                                                             
            107       24000        2100                                                                                             


JOB_ID                                                                                                                              
----------                                                                                                                          
AC_ACCOUNT                                                                                                                          
AC_MGR                                                                                                                              
AD_ASST                                                                                                                             
AD_PRES                                                                                                                             
AD_VP                                                                                                                               
FI_ACCOUNT                                                                                                                          
FI_MGR                                                                                                                              
HR_REP                                                                                                                              
IT_PROG                                                                                                                             
MK_MAN                                                                                                                              
MK_REP                                                                                                                              
PR_REP                                                                                                                              
PU_CLERK                                                                                                                            
PU_MAN                                                                                                                              
SA_MAN                                                                                                                              
SA_REP                                                                                                                              
SH_CLERK                                                                                                                            
ST_CLERK                                                                                                                            
ST_MAN                                                                                                                              

19 rows selected.


FIRST_NAME                                                                                                                          
--------------------                                                                                                                
Douglas                                                                                                                             
Danielle                                                                                                                            


UPPER(LAST_NAME)          UPPER(FIRST_NAME)    JOB_ID                                                                               
------------------------- -------------------- ----------                                                                           
HUNOLD                    ALEXANDER            IT_PROG                                                                              
ERNST                     BRUCE                IT_PROG                                                                              
AUSTIN                    DAVID                IT_PROG                                                                              
PATABALLA                 VALLI                IT_PROG                                                                              
LORENTZ                   DIANA                IT_PROG                                                                              


    SALARY                                                                                                                          
----------                                                                                                                          
     10000                                                                                                                          
     10500                                                                                                                          
     11000                                                                                                                          
     11500                                                                                                                          
     12000                                                                                                                          
     12008                                                                                                                          
     13000                                                                                                                          
     13500                                                                                                                          
     14000                                                                                                                          
     17000                                                                                                                          
     24000                                                                                                                          

11 rows selected.


EMPLOYEE_ID START_DAT END_DATE  JOB_ID     DEPARTMENT_ID YEARS_SERVICE                                                              
----------- --------- --------- ---------- ------------- -------------                                                              
        101 21-SEP-97 27-OCT-01 AC_ACCOUNT           110    22.6049958                                                              
        101 28-OCT-01 15-MAR-05 AC_MGR               110    18.5008863                                                              
        102 13-JAN-01 24-JUL-06 IT_PROG               60    19.2899274                                                              
        114 24-MAR-06 31-DEC-07 ST_CLERK              50    14.0954068                                                              
        122 01-JAN-07 31-DEC-07 ST_CLERK              50    13.3200643                                                              
        176 24-MAR-06 31-DEC-06 SA_REP                80    14.0954068                                                              
        176 01-JAN-07 31-DEC-07 SA_MAN                80    13.3200643                                                              
        200 17-SEP-95 17-JUN-01 AD_ASST               90    24.6186945                                                              
        200 01-JUL-02 31-DEC-06 AC_ACCOUNT            90    17.8269137                                                              
        201 17-FEB-04 19-DEC-07 MK_REP                20    16.1940369                                                              

10 rows selected.

